id,h_mean,v_mean,s_mean,h_std,v_std,s_std,contrast,dissimilarity,homogeneity,asm,correlation,entropy,intensity_mean,intensity_std
537,173.8561,10.993984,239.81235,81.77181,20.979975,20.856462,0.34780645161290324,0.218,0.9031233609613115,0.38415973569198747,0.934066634819869,5.441276,235.04971,27.382982
1666,28.16615,93.81613,236.76428,54.120796,54.847008,18.562967,0.6801290322580644,0.452,0.794818752204255,0.09745660770031216,0.8542744264197599,6.4422936,209.96304,23.747828
244,26.825062,71.49152,157.35718,92.662506,59.701508,49.457146,2.434,0.9470322580645162,0.6493307559725378,0.024565502601456818,0.8949445058019233,7.678859,137.97763,54.310284
90,169.94379,73.728386,181.79604,74.447174,40.20834,65.09097,0.3969032258064516,0.2938064516129032,0.8631440665596264,0.09010408740894901,0.9886229912289626,6.5384693,163.1839,66.97395
999,8.221832,65.283646,97.01638,90.3448,57.714703,47.176907,1.7438709677419357,0.8214193548387098,0.6725747876616949,0.03159409989594174,0.8990459337249797,7.3951178,85.00513,46.772507
2030,24.463673,26.49216,221.70956,64.615486,20.02166,26.723104,1.351483870967742,0.7134193548387097,0.7008974863405224,0.06746919458896983,0.7969367908584469,6.642545,214.02864,28.818968
1284,119.1616,106.6969,41.537086,75.00416,60.112648,17.237917,0.18935483870967743,0.1850967741935484,0.9078774193548388,0.23493155254942766,0.9050528872740763,5.8149824,31.315935,15.5848255
656,13.256281,69.256516,181.78195,28.810232,60.18666,37.950912,1.3713548387096774,0.6348387096774195,0.7464635696505146,0.04620770655567118,0.8894705923848072,7.3051567,160.61946,39.646168
1219,0.0,0.0,12.252992,-0.0,0.0,19.506046,0.43851612903225823,0.2512903225806452,0.8924783164422635,0.5332877648283041,0.8225966652906483,4.422663,12.252992,19.506046
631,18.268675,16.070145,172.6549,54.59539,13.73532,68.6101,1.0303870967741935,0.49735483870967745,0.799255976519506,0.05921534443288243,0.9728831360679334,7.5222654,169.61363,70.34271
2009,5.040067,50.87968,221.42215,19.152021,22.887274,27.050783,0.6789032258064515,0.42135483870967727,0.8134994260060672,0.07756756087408945,0.908164342481242,6.8420844,196.45322,30.471054
2090,17.63828,150.22618,145.3682,76.923,71.87061,71.83931,2.468516129032258,0.8976774193548387,0.6758314799610947,0.026959656607700316,0.9169508382719354,7.7462215,112.09262,61.837048
752,12.285524,67.79302,153.20045,48.190243,28.825314,55.098846,0.8958064516129032,0.526258064516129,0.7716356084532936,0.0456230634755463,0.9582208822262965,7.5411444,134.94838,52.31401
22,10.893642,121.01063,130.87943,66.881676,69.46458,50.096508,1.4544516129032257,0.6054193548387097,0.7662317456795543,0.04054666181061395,0.9225864320220107,7.5738525,102.89795,48.8105
1777,3.9451444,75.87475,142.88646,56.90791,49.335983,39.2113,0.6880645161290324,0.5041935483870968,0.7659528378181131,0.05886520707596256,0.9085023385554398,6.944116,120.84866,30.675919
1809,1.107041,48.656574,138.15974,92.39029,55.133316,73.21805,3.0932258064516134,0.8956774193548387,0.7095155080129676,0.030012828303850155,0.9286546523549342,7.835099,129.73697,74.878296
824,3.1811078,8.307392,240.96039,27.188171,27.629045,42.319607,2.9792258064516126,0.5126451612903226,0.8813330656633699,0.6737732674297606,0.7783144705689813,3.1882906,240.01741,43.087193
106,62.852554,25.591232,229.90553,7.7090554,7.916598,29.148205,0.3305806451612903,0.14516129032258063,0.9380549308252634,0.31181262434963575,0.9506510197480064,5.699138,220.93318,28.78946
955,128.51363,135.23808,85.86029,58.745438,55.675728,67.47744,0.9927741935483868,0.4015483870967741,0.8476331900233516,0.3129023184183142,0.9742739516221427,5.977893,61.521416,70.183556
1279,9.242134,156.99265,184.00499,32.64416,90.34706,76.34528,4.0,1.028,0.6829347655414006,0.032566129032258063,0.9159661473543866,7.812308,132.70038,78.66073
25,31.930002,106.4208,73.49395,41.954376,58.585556,64.87256,0.9309677419354839,0.43470967741935485,0.8227180688464566,0.08924633298647242,0.9701635560103807,7.0635004,68.01798,63.451115
